,Code,Content,Values
144,1000A-1031-GEOVB1,Persons: Rooms,21328
145,1000A-1032-GEOBL1,Persons: Senior citizen status of a private household,128
146,1000A-1032-GEODL1,Persons: Senior citizen status of a private household,8
147,1000A-1032-GEOGM1,Persons: Senior citizen status of a private household,90720
148,1000A-1032-GEOLK1,Persons: Senior citizen status of a private household,3296
149,1000A-1032-GEORB1,Persons: Senior citizen status of a private household,288
150,1000A-1032-GEOVB1,Persons: Senior citizen status of a private household,10664
151,1000A-1033-GEOBL1,Persons: Type of private household (by family),192
152,1000A-1033-GEODL1,Persons: Type of private household (by family),12
153,1000A-1033-GEOGM1,Persons: Type of private household (by family),136080
154,1000A-1033-GEOLK1,Persons: Type of private household (by family),4944
155,1000A-1033-GEORB1,Persons: Type of private household (by family),432
156,1000A-1033-GEOVB1,Persons: Type of private household (by family),15996
157,1000A-1034-GEOBL1,Persons: Type of private household (by children),928
158,1000A-1034-GEODL1,Persons: Type of private household (by children),58
159,1000A-1035-GEOBL1,Persons: Type of private household (by living arrangement),256
160,1000A-1035-GEODL1,Persons: Type of private household (by living arrangement),16
161,1000A-1035-GEOGM1,Persons: Type of private household (by living arrangement),181440
162,1000A-1035-GEOLK1,Persons: Type of private household (by living arrangement),6592
163,1000A-1035-GEORB1,Persons: Type of private household (by living arrangement),576
164,1000A-1035-GEOVB1,Persons: Type of private household (by living arrangement),21328
165,1000A-1036-GEOBL1,Persons: Dwellings in a building,192
166,1000A-1036-GEODL1,Persons: Dwellings in a building,12
167,1000A-1037-GEOBL1,Persons: Dwellings in a building (three classes),128
168,1000A-1037-GEODL1,Persons: Dwellings in a building (three classes),8
169,1000A-1038-GEOBL1,Persons: Size of family nucleus,192
170,1000A-1038-GEODL1,Persons: Size of family nucleus,12
171,1000A-1038-GEOLK1,Persons: Size of family nucleus,4944
172,1000A-1038-GEORB1,Persons: Size of family nucleus,432
173,1000A-1039-GEOBL1,Persons: Type of family nucleus (by family),128
174,1000A-1039-GEODL1,Persons: Type of family nucleus (by family),8
175,1000A-1039-GEOGM1,Persons: Type of family nucleus (by family),90720
176,1000A-1039-GEOLK1,Persons: Type of family nucleus (by family),3296
177,1000A-1039-GEORB1,Persons: Type of family nucleus (by family),288
178,1000A-1039-GEOVB1,Persons: Type of family nucleus (by family),10664
179,1000A-1040-GEOBL1,Persons: Type of family nucleus (by living arrangement),192
180,1000A-1040-GEODL1,Persons: Type of family nucleus (by living arrangement),12
181,1000A-1040-GEOGM1,Persons: Type of family nucleus (by living arrangement),136080
182,1000A-1040-GEOLK1,Persons: Type of family nucleus (by living arrangement),4944
183,1000A-1040-GEORB1,Persons: Type of family nucleus (by living arrangement),432
184,1000A-1040-GEOVB1,Persons: Type of family nucleus (by living arrangement),15996
185,1000A-2001-GEOBL1,"Persons: Age (ten years age groups/eleven classes of years)
- Marital status/Religion/Citizenship (groups/selected
countries)",1360
186,1000A-2001-GEOGM1,"Persons: Age (ten years age groups/eleven classes of years)
- Marital status/Religion/Citizenship (groups/selected
countries)",907280
187,1000A-2001-GEOLK1,"Persons: Age (ten years age groups/eleven classes of years)
- Marital status/Religion/Citizenship (groups/selected
countries)",33040
188,1000A-2001-GEORB1,"Persons: Age (ten years age groups/eleven classes of years)
- Marital status/Religion/Citizenship (groups/selected
countries)",2960
189,1000A-2001-GEOVB1,"Persons: Age (ten years age groups/eleven classes of years)
- Marital status/Religion/Citizenship (groups/selected
countries)",106720
190,1000A-2002-GEOBL1,"Persons: Age (ten years age groups)/Citizenship (selected
countries) - Type of household",1020
191,1000A-2002-GEOGM2,"Persons: Age (ten years age groups)/Citizenship (selected
countries) - Type of household",94500
192,1000A-2002-GEOLK1,"Persons: Age (ten years age groups)/Citizenship (selected
countries) - Type of household",24780
193,1000A-2002-GEORB1,"Persons: Age (ten years age groups)/Citizenship (selected
countries) - Type of household",2220
194,1000A-2002-GEOVB3,"Persons: Age (ten years age groups)/Citizenship (selected
countries) - Type of household",9480
195,1000A-2003-GEOBL1,"Persons: Age (eleven classes of years)/Sex - Citizenship
(continents)",1632
196,1000A-2003-GEOGM1,"Persons: Age (eleven classes of years)/Sex - Citizenship
(continents)",1088736
197,1000A-2003-GEOLK1,"Persons: Age (eleven classes of years)/Sex - Citizenship
(continents)",39648
198,1000A-2003-GEORB1,"Persons: Age (eleven classes of years)/Sex - Citizenship
(continents)",3552
199,1000A-2003-GEOVB1,"Persons: Age (eleven classes of years)/Sex - Citizenship
(continents)",128064
200,1000A-2004-GEOBL1,"Persons: Age (five classes of years) - Marital
status/Country of birth (groups)/Religion",816
201,1000A-2004-GEOGM1,"Persons: Age (five classes of years) - Marital
status/Country of birth (groups)/Religion",544368
202,1000A-2004-GEOLK1,"Persons: Age (five classes of years) - Marital
status/Country of birth (groups)/Religion",19824
203,1000A-2004-GEORB1,"Persons: Age (five classes of years) - Marital
status/Country of birth (groups)/Religion",1776
204,1000A-2004-GEOVB1,"Persons: Age (five classes of years) - Marital
status/Country of birth (groups)/Religion",64032
205,1000A-2005-GEOBL1,Persons: Age (five years age groups) - Marital status,3060
206,1000A-2006-GEOBL1,Persons: Age (five years age groups) - Citizenship/Religion,1020
207,1000A-2006-GEOLK1,Persons: Age (five years age groups) - Citizenship/Religion,24780
208,1000A-2006-GEORB1,Persons: Age (five years age groups) - Citizenship/Religion,2220
209,1000A-2006-GEOVB3,Persons: Age (five years age groups) - Citizenship/Religion,9480
210,1000A-2007-GEOBL1,Persons: Age (yearly stages) - Citizenship,5202
211,1000A-2007-GEORB1,Persons: Age (yearly stages) - Citizenship,11322
212,1000A-2008-GEOBL1,"Persons: Age (yearly stages) - Citizenship
(continents/countries)/Country of birth",13872
213,1000A-2008-GEORB1,"Persons: Age (yearly stages) - Citizenship
(continents/countries)/Country of birth",30192
214,1000A-2009-GEOBL1,"Persons: Age (age classes of relevance to market research) -
Marital status (in detail)/Sex",2142
215,1000A-2010-GEOBL1,"Persons: Marital status - Citizenship (groups/selected
countries)/Religion",816
216,1000A-2010-GEOGM1,"Persons: Marital status - Citizenship (groups/selected
countries)/Religion",544368
217,1000A-2010-GEOLK1,"Persons: Marital status - Citizenship (groups/selected
countries)/Religion",19824
218,1000A-2010-GEORB1,"Persons: Marital status - Citizenship (groups/selected
countries)/Religion",1776
219,1000A-2010-GEOVB1,"Persons: Marital status - Citizenship (groups/selected
countries)/Religion",64032
220,1000A-2011-GEOBL1,"Persons: Marital status (in detail) - Citizenship (selected
countries)/Religion",2295
221,1000A-2011-GEOGM2,"Persons: Marital status (in detail) - Citizenship (selected
countries)/Religion",212625
222,1000A-2011-GEOLK1,"Persons: Marital status (in detail) - Citizenship (selected
countries)/Religion",55755
223,1000A-2011-GEORB1,"Persons: Marital status (in detail) - Citizenship (selected
countries)/Religion",4995
224,1000A-2011-GEOVB3,"Persons: Marital status (in detail) - Citizenship (selected
countries)/Religion",21330
225,1000A-2012-GEOBL1,"Persons: Sex - Age/Marital status/Type of
household/Religion",306
226,1000A-2012-GEOGM1,"Persons: Sex - Age/Marital status/Type of
household/Religion",204138
227,1000A-2012-GEOLK1,"Persons: Sex - Age/Marital status/Type of
household/Religion",7434
228,1000A-2012-GEORB1,"Persons: Sex - Age/Marital status/Type of
household/Religion",666
229,1000A-2012-GEOVB1,"Persons: Sex - Age/Marital status/Type of
household/Religion",24012
230,1000A-2013-GEOBL1,Persons: Sex - Country of birth (groups),408
231,1000A-2013-GEOGM1,Persons: Sex - Country of birth (groups),272184
232,1000A-2013-GEOLK1,Persons: Sex - Country of birth (groups),9912
233,1000A-2013-GEORB1,Persons: Sex - Country of birth (groups),888
234,1000A-2013-GEOVB1,Persons: Sex - Country of birth (groups),32016
235,1000A-2014-GEOBL1,Persons: Sex - Country of birth/Citizenship (countries),10761
236,1000A-2014-GEORB1,Persons: Sex - Country of birth/Citizenship (countries),23421
237,1000A-2015-GEOBL1,Persons: Citizenship (selected countries) - Sex/Religion,765
238,1000A-2015-GEORB1,Persons: Citizenship (selected countries) - Sex/Religion,1665
239,1000A-2016-GEOBL1,"Persons: Citizenship (groups) - Age (five classes/age
classes of relevance to infrastructure)/Sex/Religion",816
240,1000A-2016-GEORB1,"Persons: Citizenship (groups) - Age (five classes/age
classes of relevance to infrastructure)/Sex/Religion",1776
241,1000A-2017-GEOBL1,Persons: Citizenship (groups) - Marital status (in detail),1224
242,1000A-2022-GEOBL1,"Persons: Age/Marital status/Sex - Type of use of the
dwelling",960
243,1000A-2022-GEODL1,"Persons: Age/Marital status/Sex - Type of use of the
dwelling",60
244,1000A-2022-GEOGM1,"Persons: Age/Marital status/Sex - Type of use of the
dwelling",680400
245,1000A-2022-GEOLK1,"Persons: Age/Marital status/Sex - Type of use of the
dwelling",24720
246,1000A-2022-GEORB1,"Persons: Age/Marital status/Sex - Type of use of the
dwelling",2160
247,1000A-2022-GEOVB1,"Persons: Age/Marital status/Sex - Type of use of the
dwelling",79980
248,1000A-2023-GEOBL1,Persons: Age (ten years age groups) - Size of family nucleus,1120
249,1000A-2023-GEODL1,Persons: Age (ten years age groups) - Size of family nucleus,70
250,1000A-2024-GEOBL1,"Persons: Age/Marital status (in detail) - Type of private
household (by family/living arrangement)",960
251,1000A-2024-GEODL1,"Persons: Age/Marital status (in detail) - Type of private
household (by family/living arrangement)",60
252,1000A-2025-GEOBL1,"Persons: Age (eleven classes of years)/Sex - Equipment in
dwelling/Type of the building (size)/Size of private
household",960
253,1000A-2025-GEODL1,"Persons: Age (eleven classes of years)/Sex - Equipment in
dwelling/Type of the building (size)/Size of private
household",60
254,1000A-2025-GEOGM1,"Persons: Age (eleven classes of years)/Sex - Equipment in
dwelling/Type of the building (size)/Size of private
household",680400
255,1000A-2025-GEOLK1,"Persons: Age (eleven classes of years)/Sex - Equipment in
dwelling/Type of the building (size)/Size of private
household",24720
256,1000A-2025-GEORB1,"Persons: Age (eleven classes of years)/Sex - Equipment in
dwelling/Type of the building (size)/Size of private
household",2160
257,1000A-2025-GEOVB1,"Persons: Age (eleven classes of years)/Sex - Equipment in
dwelling/Type of the building (size)/Size of private
household",79980
258,1000A-2026-GEOBL1,"Persons: Age (five classes of years) - Type of private
household (by living arrangement)",768
259,1000A-2026-GEODL1,"Persons: Age (five classes of years) - Type of private
household (by living arrangement)",48
260,1000A-2026-GEOGM1,"Persons: Age (five classes of years) - Type of private
household (by living arrangement)",544320
261,1000A-2026-GEOLK1,"Persons: Age (five classes of years) - Type of private
household (by living arrangement)",19776
262,1000A-2026-GEORB1,"Persons: Age (five classes of years) - Type of private
household (by living arrangement)",1728
263,1000A-2026-GEOVB1,"Persons: Age (five classes of years) - Type of private
household (by living arrangement)",63984
264,1000A-2027-GEOBL1,"Persons: Age (five years age groups) - Marital status (in
detail)/Sex/Size of private household/Type of private
household - Senior citizen status of a private household",384
265,1000A-2027-GEODL1,"Persons: Age (five years age groups) - Marital status (in
detail)/Sex/Size of private household/Type of private
household - Senior citizen status of a private household",24
266,1000A-2027-GEOGM1,"Persons: Age (five years age groups) - Marital status (in
detail)/Sex/Size of private household/Type of private
household - Senior citizen status of a private household",272160
267,1000A-2027-GEOLK1,"Persons: Age (five years age groups) - Marital status (in
detail)/Sex/Size of private household/Type of private
household - Senior citizen status of a private household",9888
268,1000A-2027-GEORB1,"Persons: Age (five years age groups) - Marital status (in
detail)/Sex/Size of private household/Type of private
household - Senior citizen status of a private household",864
269,1000A-2027-GEOVB1,"Persons: Age (five years age groups) - Marital status (in
detail)/Sex/Size of private household/Type of private
household - Senior citizen status of a private household",31992
270,1000A-2028-GEOBL1,"Persons: Age (five years age groups) - Size of private
household",2240
271,1000A-2028-GEODL1,"Persons: Age (five years age groups) - Size of private
household",140
272,1000A-2028-GEOGM2,"Persons: Age (five years age groups) - Size of private
household",220360
273,1000A-2028-GEOLK1,"Persons: Age (five years age groups) - Size of private
household",57680
274,1000A-2028-GEORB1,"Persons: Age (five years age groups) - Size of private
household",5040
275,1000A-2028-GEOVB3,"Persons: Age (five years age groups) - Size of private
household",21980
276,1000A-2029-GEOBL1,"Persons: Age (eleven classes of years)/Sex/Size of private
household - Type of private household (by family/living
arrangement)",1152
277,1000A-2029-GEODL1,"Persons: Age (eleven classes of years)/Sex/Size of private
household - Type of private household (by family/living
arrangement)",72
278,1000A-2029-GEOGM1,"Persons: Age (eleven classes of years)/Sex/Size of private
household - Type of private household (by family/living
arrangement)",816480
279,1000A-2029-GEOLK1,"Persons: Age (eleven classes of years)/Sex/Size of private
household - Type of private household (by family/living
arrangement)",29664
280,1000A-2029-GEORB1,"Persons: Age (eleven classes of years)/Sex/Size of private
household - Type of private household (by family/living
arrangement)",2592
281,1000A-2029-GEOVB1,"Persons: Age (eleven classes of years)/Sex/Size of private
household - Type of private household (by family/living
arrangement)",95976
282,1000A-2030-GEOBL1,"Persons: Age (age classes of relevance to market
research)/Sex - Type of private household (by children)",6496
283,1000A-2030-GEODL1,"Persons: Age (age classes of relevance to market
research)/Sex - Type of private household (by children)",406
284,1000A-2031-GEOBL1,"Persons: Marital status - Type of building
(construction/size)",480
285,1000A-2031-GEODL1,"Persons: Marital status - Type of building
(construction/size)",30
286,1000A-2031-GEOGM2,"Persons: Marital status - Type of building
(construction/size)",47220
287,1000A-2031-GEOLK1,"Persons: Marital status - Type of building
(construction/size)",12360
288,1000A-2031-GEORB1,"Persons: Marital status - Type of building
(construction/size)",1080
289,1000A-2031-GEOVB3,"Persons: Marital status - Type of building
(construction/size)",4710
290,1000A-2032-GEOBL1,"Persons: Marital status/Citizenship (selected countries) -
Type of private household (by living arrangement)",768
291,1000A-2032-GEODL1,"Persons: Marital status/Citizenship (selected countries) -
Type of private household (by living arrangement)",48
292,1000A-2033-GEOBL1,"Persons: Marital status (in detail) - Year of construction
(decade period)/Ownership of dwelling/Dwellings in a
building",1440
293,1000A-2033-GEODL1,"Persons: Marital status (in detail) - Year of construction
(decade period)/Ownership of dwelling/Dwellings in a
building",90
294,1000A-2034-GEOBL1,"Persons: Religion - Senior citizen status of a private
household",256
295,1000A-2034-GEODL1,"Persons: Religion - Senior citizen status of a private
household",16
296,1000A-2034-GEOGM2,"Persons: Religion - Senior citizen status of a private
household",25184
297,1000A-2034-GEOLK1,"Persons: Religion - Senior citizen status of a private
household",6592
298,1000A-2034-GEORB1,"Persons: Religion - Senior citizen status of a private
household",576
299,1000A-2034-GEOVB3,"Persons: Religion - Senior citizen status of a private
household",2512
300,1000A-2035-GEOBL1,"Persons: Citizenship (groups) - Type of private household
(by family)",768
301,1000A-2035-GEODL1,"Persons: Citizenship (groups) - Type of private household
(by family)",48
302,1000A-2035-GEOGM1,"Persons: Citizenship (groups) - Type of private household
(by family)",544320
303,1000A-2035-GEOLK1,"Persons: Citizenship (groups) - Type of private household
(by family)",19776
304,1000A-2035-GEORB1,"Persons: Citizenship (groups) - Type of private household
(by family)",1728
305,1000A-2035-GEOVB1,"Persons: Citizenship (groups) - Type of private household
(by family)",63984
306,1000A-2036-GEOBL1,"Persons: Citizenship (continents) - Size of private
household",896
307,1000A-2036-GEODL1,"Persons: Citizenship (continents) - Size of private
household",56
308,1000A-2037-GEOBL1,"Persons: Year of construction (decade period)/Floor area of
the dwelling (10m² intervals)/Dwellings in a
building (three classes) - Type of building",1280
309,1000A-2037-GEODL1,"Persons: Year of construction (decade period)/Floor area of
the dwelling (10m² intervals)/Dwellings in a
building (three classes) - Type of building",80
310,1000A-2038-GEOBL1,"Persons: Year of construction (decade period)/Ownership of
the building/Dwellings in a building - Type of the building
(construction)",800
311,1000A-2038-GEODL1,"Persons: Year of construction (decade period)/Ownership of
the building/Dwellings in a building - Type of the building
(construction)",50
312,1000A-2039-GEOBL1,"Persons: Year of construction (decade period)/Ownership of
the building - Dwellings in a building",960
313,1000A-2039-GEODL1,"Persons: Year of construction (decade period)/Ownership of
the building - Dwellings in a building",60
314,1000A-2040-GEOBL1,"Persons: Year of construction (decade period) - Ownership of
the building/Floor area of the dwelling (10m² intervals)",1440
315,1000A-2040-GEODL1,"Persons: Year of construction (decade period) - Ownership of
the building/Floor area of the dwelling (10m² intervals)",90
316,1000A-2041-GEOBL1,"Persons: Floor area of the dwelling (20m² intervals)/Rooms -
Size of private household",1232
317,1000A-2041-GEODL1,"Persons: Floor area of the dwelling (20m² intervals)/Rooms -
Size of private household",77
318,1000A-2041-GEOLK1,"Persons: Floor area of the dwelling (20m² intervals)/Rooms -
Size of private household",31724
319,1000A-2041-GEORB1,"Persons: Floor area of the dwelling (20m² intervals)/Rooms -
Size of private household",2772
320,1000A-2042-GEOBL1,"Persons: Age (five classes of years) - Type of family
nucleus (by living arrangement)",576
321,1000A-2042-GEODL1,"Persons: Age (five classes of years) - Type of family
nucleus (by living arrangement)",36
322,1000A-2042-GEOGM1,"Persons: Age (five classes of years) - Type of family
nucleus (by living arrangement)",408240
323,1000A-2042-GEOLK1,"Persons: Age (five classes of years) - Type of family
nucleus (by living arrangement)",14832
324,1000A-2042-GEORB1,"Persons: Age (five classes of years) - Type of family
nucleus (by living arrangement)",1296
325,1000A-2042-GEOVB1,"Persons: Age (five classes of years) - Type of family
nucleus (by living arrangement)",47988
326,1000A-2043-GEOBL1,"Persons: Age (ten years age groups)/Size of private
household - Type of family nucleus (by family)",448
327,1000A-2043-GEODL1,"Persons: Age (ten years age groups)/Size of private
household - Type of family nucleus (by family)",28
328,1000A-2044-GEOBL1,"Persons: Age (five years age groups)/Marital status - Size
of family nucleus/Type of family nucleus (by living
arrangement)",1920
329,1000A-2044-GEODL1,"Persons: Age (five years age groups)/Marital status - Size
of family nucleus/Type of family nucleus (by living
arrangement)",120
330,1000A-2045-GEOBL1,"Persons: Age (age classes of relevance to market research) -
Type of family nucleus (by living arrangement)",1344
331,1000A-2045-GEODL1,"Persons: Age (age classes of relevance to market research) -
Type of family nucleus (by living arrangement)",84
332,1000A-2046-GEOBL1,"Persons: Sex - Type of family nucleus (by family/living
arrangement)",192
333,1000A-2046-GEODL1,"Persons: Sex - Type of family nucleus (by family/living
arrangement)",12
334,1000A-2046-GEOGM1,"Persons: Sex - Type of family nucleus (by family/living
arrangement)",136080
335,1000A-2046-GEOLK1,"Persons: Sex - Type of family nucleus (by family/living
arrangement)",4944
336,1000A-2046-GEORB1,"Persons: Sex - Type of family nucleus (by family/living
arrangement)",432
337,1000A-2046-GEOVB1,"Persons: Sex - Type of family nucleus (by family/living
arrangement)",15996
338,1000A-2047-GEOBL1,"Persons: Sex/Type of family nucleus (by living arrangement)
- Size of family nucleus",288
339,1000A-2047-GEODL1,"Persons: Sex/Type of family nucleus (by living arrangement)
- Size of family nucleus",18
340,1000A-2048-GEOBL1,"Persons: Citizenship (groups) - Type of family nucleus (by
family)",512
341,1000A-2048-GEODL1,"Persons: Citizenship (groups) - Type of family nucleus (by
family)",32
