Tabelle: 1000A-0001
Personen: Bevölkerungszahl und Fläche (Gemeinden);;;;;
Bevölkerung kompakt (Gebietsstand 15.05.2022);;;;;;;;
;;;Personen;;Fläche;;Bevölkerungsdichte;
;;;Anzahl;Anzahl;qkm;qkm;Ew/qkm;Ew/qkm
;091815143123;Greifenberg;2166;e;8,20;e;264;e
;091815143139;Schondorf am Ammersee;3720;e;6,59;e;564;e
;091815144118;Eresing;1975;e;14,22;e;139;e
;091815144120;Finning;1900;e;23,34;e;81;e
;091815144146;Windach;3766;e;24,84;e;152;e
;091820111111;Bad Wiessee;4896;e;32,78;e;149;e
;091820112112;Bayrischzell;1505;e;79,45;e;19;e
;091820114114;Fischbachau;5498;e;75,82;e;73;e
;091820116116;Gmund a.Tegernsee;5895;e;34,42;e;171;e
;091820119119;Hausham;8109;e;22,29;e;364;e
;091820120120;Holzkirchen, M;16135;e;48,24;e;334;e
;091820123123;Irschenberg;3053;e;53,91;e;57;e
;091820124124;Kreuth;3403;e;122,26;e;28;e
;091820125125;Miesbach, St;11144;e;32,44;e;344;e
;091820127127;Otterfing;4665;e;21,15;e;221;e
;091820129129;Rottach-Egern;5448;e;59,12;e;92;e
;091820131131;Schliersee, M;6572;e;79,14;e;83;e
;091820132132;Tegernsee, St;3411;e;22,74;e;150;e
;091820133133;Valley;3310;e;42,18;e;78;e
;091820134134;Waakirchen;5471;e;42,32;e;129;e
;091820136136;Warngau;3811;e;51,25;e;74;e
;091820137137;Weyarn;3828;e;46,70;e;82;e
;091830112112;Ampfing;6932;e;31,13;e;223;e
;091830113113;Aschau a.Inn;3340;e;20,76;e;161;e
;091830114114;Buchbach, M;3290;e;28,79;e;114;e
;091830119119;Haag i.OB, M;6408;e;20,37;e;315;e
;091830127127;Mettenheim (Landkreis Mühldorf a.Inn);3612;e;27,22;e;133;e
;091830128128;Mühldorf a.Inn, St;21917;e;29,42;e;745;e
;091830135135;Obertaufkirchen;2615;e;31,65;e;83;e
;091830144144;Schwindegg;3528;e;20,77;e;170;e
;091830148148;Waldkraiburg, St;25382;e;21,56;e;1177;e
;091835145120;Heldenstein;2746;e;19,85;e;138;e
;091835145138;Rattenkirchen;1010;e;19,87;e;51;e
;091835146118;Gars a.Inn, M;3994;e;43,65;e;92;e
;091835146147;Unterreit;1725;e;32,21;e;54;e
;091835147123;Kirchdorf (Landkreis Mühldorf a.Inn);1327;e;21,03;e;63;e
;091835147140;Reichertsheim;1681;e;31,36;e;54;e
;091835148122;Jettenbach (Landkreis Mühldorf a.Inn);751;e;9,18;e;82;e
;091835148124;Kraiburg a.Inn, M;4023;e;27,55;e;146;e
;091835148145;Taufkirchen (Landkreis Mühldorf a.Inn);1395;e;25,33;e;55;e
;091835149115;Egglkofen;1267;e;13,98;e;91;e
;091835149129;Neumarkt-Sankt Veit, St;6217;e;61,07;e;102;e
;091835150125;Lohkirchen;822;e;14,94;e;55;e
;091835150132;Oberbergkirchen;1698;e;27,52;e;62;e
;091835150143;Schönberg (Landkreis Mühldorf a.Inn);1078;e;25,33;e;43;e
;091835150151;Zangberg;1175;e;9,83;e;120;e
;091835151134;Oberneukirchen;852;e;19,60;e;43;e
;091835151136;Polling (Landkreis Mühldorf a.Inn);3287;e;43,85;e;75;e
;091835152116;Erharting;923;e;13,68;e;67;e
;091835152130;Niederbergkirchen;1183;e;24,70;e;48;e
;091835152131;Niedertaufkirchen;1433;e;26,69;e;54;e
;091835183126;Maitenbeth;1993;e;30,94;e;64;e
;091835183139;Rechtmehring;2048;e;24,39;e;84;e
;091840112112;Aschheim;8974;e;28,05;e;320;e
;091840113113;Baierbrunn;3350;e;7,21;e;465;e
;091840114114;Brunnthal;5332;e;37,95;e;141;e
;091840118118;Feldkirchen (Landkreis München);7591;e;6,41;e;1184;e
;091840119119;Garching b.München, St;17620;e;28,17;e;625;e
;091840120120;Gräfelfing;13792;e;9,58;e;1440;e
;091840121121;Grasbrunn;6585;e;26,39;e;250;e
;091840122122;Grünwald;11138;e;7,63;e;1460;e
;091840123123;Haar;21427;e;12,90;e;1661;e
;091840127127;Höhenkirchen-Siegertsbrunn;11006;e;23,77;e;463;e
;091840129129;Hohenbrunn;8821;e;18,58;e;475;e
;091840130130;Ismaning;17604;e;40,19;e;438;e
;091840131131;Kirchheim b.München;12598;e;15,50;e;813;e
;091840132132;Neuried (Landkreis München);8386;e;9,62;e;872;e
;091840134134;Oberhaching;13462;e;33,06;e;407;e
;091840135135;Oberschleißheim;11850;e;30,32;e;391;e
;091840136136;Ottobrunn;22311;e;5,23;e;4266;e
;091840137137;Aying;5524;e;56,56;e;98;e
;091840138138;Planegg;11201;e;10,68;e;1049;e
;091840139139;Pullach i.Isartal;8667;e;7,40;e;1171;e
;091840140140;Putzbrunn;6582;e;11,17;e;589;e
;091840141141;Sauerlach;8112;e;56,95;e;142;e
;091840142142;Schäftlarn;5777;e;16,72;e;346;e
;091840144144;Straßlach-Dingharting;3260;e;28,34;e;115;e
;091840145145;Taufkirchen (Landkreis München);18013;e;22,00;e;819;e
;091840146146;Neubiberg;14367;e;5,77;e;2490;e
;091840147147;Unterföhring;11074;e;12,79;e;866;e
;091840148148;Unterhaching;26073;e;10,37;e;2514;e
;091840149149;Unterschleißheim, St;28114;e;14,93;e;1883;e
;091850113113;Aresing;2964;e;29,90;e;99;e
;091850125125;Burgheim, M;4559;e;49,73;e;92;e
;091850127127;Ehekirchen;3752;e;62,78;e;60;e
;091850139139;Karlshuld;5933;e;29,09;e;204;e
;091850140140;Karlskron;4748;e;38,52;e;123;e
;091850149149;Neuburg a.d.Donau, GKSt;29629;e;81,29;e;364;e
;091850150150;Oberhausen (Landkreis Neuburg-Schrobenhausen);3188;e;32,00;e;100;e
;091850153153;Rennertshofen, M;4839;e;93,11;e;52;e
;091850158158;Schrobenhausen, St;17207;e;75,26;e;229;e
;091850163163;Königsmoos;4812;e;40,83;e;118;e
;091850168168;Weichering;2438;e;24,59;e;99;e
;091855154118;Bergheim;1931;e;28,92;e;67;e
;091855154157;Rohrenfels;1580;e;17,53;e;90;e
;091855155116;Berg im Gau;1325;e;22,59;e;59;e
;091855155123;Brunnen;1782;e;32,14;e;55;e
;091855155131;Gachenbach;2599;e;30,25;e;86;e
;091855155143;Langenmosen;1599;e;23,88;e;67;e
;091855155166;Waidhofen;2281;e;27,32;e;83;e
;091860113113;Baar-Ebenhausen;5472;e;14,79;e;370;e
;091860125125;Gerolsbach;3692;e;58,98;e;63;e
;091860128128;Hohenwart, M;4781;e;52,22;e;92;e
;091860132132;Jetzendorf;3085;e;21,74;e;142;e
;091860137137;Manching, M;12785;e;35,43;e;361;e
;091860139139;Münchsmünster;3088;e;16,22;e;190;e
;091860143143;Pfaffenhofen a.d.Ilm, St;25700;e;92,63;e;277;e
;091860146146;Reichertshausen;5119;e;23,64;e;217;e
;091860149149;Rohrbach (Landkreis Pfaffenhofen a.d.Ilm);5967;e;29,62;e;201;e
;091860151151;Scheyern;4654;e;38,29;e;122;e
;091860152152;Schweitenkirchen;5455;e;53,00;e;103;e
;091860158158;Vohburg a.d.Donau, St;8630;e;45,17;e;191;e
;091860162162;Wolnzach, M;11449;e;91,50;e;125;e
;091865156116;Ernsgaden;1698;e;7,50;e;226;e
;091865156122;Geisenfeld, St;11343;e;88,30;e;128;e
;091865157126;Hettenshausen;2131;e;18,60;e;115;e
;091865157130;Ilmmünster;2187;e;13,89;e;157;e
;091865158144;Pörnbach;2148;e;22,63;e;95;e
;091865158147;Reichertshofen, M;8144;e;36,89;e;221;e
;091870113113;Amerang;3634;e;39,81;e;91;e
;091870114114;Aschau i.Chiemgau;5195;e;79,59;e;65;e
;091870116116;Babensham;3034;e;54,31;e;56;e
;091870117117;Bad Aibling, St;17993;e;41,40;e;435;e
;091870118118;Bernau a.Chiemsee;6611;e;26,68;e;248;e
;091870120120;Brannenburg;6506;e;33,67;e;193;e
;091870122122;Bruckmühl, M;16440;e;50,21;e;327;e
;091870124124;Edling;4404;e;20,04;e;220;e
;091870125125;Eggstätt;2867;e;24,29;e;118;e
;091870126126;Eiselfing;3224;e;34,89;e;92;e
;091870128128;Bad Endorf, M;8201;e;40,10;e;205;e
;091870129129;Bad Feilnbach;8154;e;57,49;e;142;e
;091870130130;Feldkirchen-Westerham;10616;e;53,24;e;199;e
;091870131131;Flintsbach a.Inn;2908;e;31,30;e;93;e
;091870132132;Frasdorf;3016;e;32,71;e;92;e
;091870134134;Griesstätt;2823;e;29,53;e;96;e
;091870137137;Großkarolinenfeld;7323;e;29,07;e;252;e
;091870142142;Schechen;5223;e;31,53;e;166;e
;091870148148;Kiefersfelden;6468;e;36,74;e;176;e
;091870150150;Kolbermoor, St;18380;e;19,83;e;927;e
;091870154154;Neubeuern, M;4058;e;15,32;e;265;e
;091870156156;Nußdorf a.Inn;2524;e;28,56;e;88;e
;091870157157;Oberaudorf;4979;e;59,29;e;84;e
;091870162162;Prien a.Chiemsee, M;10736;e;20,70;e;519;e
;091870163163;Prutting;2860;e;16,22;e;176;e
;091870165165;Raubling;10958;e;44,27;e;248;e
;091870167167;Riedering;5470;e;37,95;e;144;e
;091870168168;Rimsting;3692;e;20,00;e;185;e
;091870169169;Rohrdorf (Landkreis Rosenheim);5783;e;28,65;e;202;e
;091870172172;Samerberg;2763;e;33,40;e;83;e
;091870174174;Söchtenau;2635;e;25,62;e;103;e
;091870176176;Soyen;2914;e;28,96;e;101;e
;091870177177;Stephanskirchen;10013;e;26,51;e;378;e
;091870179179;Tuntenhausen;6996;e;68,98;e;101;e
;091870181181;Vogtareuth;3074;e;34,24;e;90;e
;091870182182;Wasserburg a.Inn, St;12127;e;18,80;e;645;e
;091875160121;Breitbrunn a.Chiemsee;1529;e;8,12;e;188;e
;091875160123;Chiemsee;191;e;2,57;e;74;e
;091875160138;Gstadt a.Chiemsee;1128;e;10,70;e;105;e
;091875162139;Halfing;2739;e;22,79;e;120;e
;091875162145;Höslwang;1237;e;16,18;e;76;e
;091875162173;Schonstett;1423;e;13,59;e;105;e
;091875165164;Ramerberg;1365;e;8,09;e;169;e
;091875165170;Rott a.Inn;4061;e;19,57;e;208;e
;091875184159;Pfaffing;4032;e;35,39;e;114;e
;091875184186;Albaching;1744;e;18,16;e;96;e
;091880113113;Berg (Landkreis Starnberg);8206;e;36,63;e;224;e
;091880117117;Andechs;3780;e;40,43;e;93;e
;091880118118;Feldafing;4302;e;9,15;e;470;e
;091880120120;Gauting;21583;e;55,50;e;389;e
;091880121121;Gilching;18987;e;31,50;e;603;e
;091880124124;Herrsching a.Ammersee;11066;e;20,88;e;530;e
;091880126126;Inning a.Ammersee;4806;e;24,42;e;197;e
;091880127127;Krailling;7874;e;15,99;e;492;e
;091880132132;Seefeld (Landkreis Starnberg);7569;e;34,85;e;217;e
;091880137137;Pöcking;5474;e;20,96;e;261;e
;091880139139;Starnberg, St;24168;e;61,85;e;391;e
;091880141141;Tutzing;9949;e;35,65;e;279;e
;091880144144;Weßling;5474;e;22,60;e;242;e
;091880145145;Wörthsee;5087;e;20,42;e;249;e
;091890111111;Altenmarkt a.d.Alz;4025;e;26,10;e;154;e
;091890114114;Chieming;4595;e;37,73;e;122;e
;091890115115;Engelsberg;2371;e;34,18;e;69;e
;091890118118;Fridolfing;4341;e;44,22;e;98;e
;091890119119;Grabenstätt;4283;e;37,81;e;113;e
;091890120120;Grassau, M;6752;e;35,78;e;189;e
;091890124124;Inzell;4305;e;45,35;e;95;e
;091890127127;Kirchanschöring;3342;e;25,23;e;132;e
;091890130130;Nußdorf;2336;e;16,12;e;145;e
;091890134134;Palling;3406;e;53,84;e;63;e
;091890135135;Petting;2228;e;29,92;e;74;e
;091890139139;Reit im Winkl;1938;e;70,98;e;27;e
;091890140140;Ruhpolding;6101;e;147,83;e;41;e
;091890141141;Schleching;1668;e;45,17;e;37;e
;091890142142;Schnaitsee;3573;e;61,14;e;58;e
;091890143143;Seeon-Seebruck;4406;e;47,93;e;92;e
;091890145145;Siegsdorf;8014;e;57,00;e;141;e
;091890148148;Surberg;3271;e;23,71;e;138;e
;091890149149;Tacherting;5649;e;50,24;e;112;e
;091890152152;Tittmoning, St;5782;e;72,01;e;80;e
;091890154154;Traunreut, St;20125;e;45,06;e;447;e
;091890155155;Traunstein, GKSt;20248;e;48,57;e;417;e
;091890157157;Trostberg, St;11231;e;51,55;e;218;e
;091890159159;Übersee;4942;e;30,53;e;162;e
;091890160160;Unterwössen;3386;e;41,28;e;82;e
;091895166113;Bergen (Landkreis Traunstein);4594;e;36,90;e;124;e
;091895166161;Vachendorf;1766;e;9,96;e;177;e
;091895169129;Marquartstein;2989;e;13,40;e;223;e
;091895169146;Staudach-Egerndach;1128;e;19,34;e;58;e
;091895170126;Kienberg;1314;e;22,83;e;58;e
;091895170133;Obing;4243;e;43,75;e;97;e
;091895170137;Pittenhart;1842;e;27,91;e;66;e
;091895173150;Taching a.See;2003;e;26,75;e;75;e
;091895173162;Waging a.See, M;6690;e;48,86;e;137;e
;091895173165;Wonneberg;1556;e;18,01;e;86;e
;091900115115;Bernried am Starnberger See;2438;e;13,80;e;177;e
;091900130130;Hohenpeißenberg;3845;e;20,54;e;187;e
;091900138138;Pähl;2461;e;32,22;e;76;e
;091900139139;Peißenberg, M;12826;e;32,69;e;392;e
;091900140140;Peiting, M;11575;e;75,11;e;154;e
;091900141141;Penzberg, St;16663;e;25,73;e;648;e
;091900142142;Polling (Landkreis Weilheim-Schongau);3563;e;29,20;e;122;e
;091900144144;Raisting;2344;e;21,98;e;107;e
;091900148148;Schongau, St;12318;e;21,34;e;577;e
;091900157157;Weilheim i.OB, St;22720;e;55,50;e;409;e
;091900158158;Wessobrunn;2213;e;51,10;e;43;e
;091900159159;Wielenbach;3318;e;33,02;e;100;e
;091905174111;Altenstadt (Landkreis Weilheim-Schongau);3284;e;18,66;e;176;e
;091905174129;Hohenfurch;1744;e;12,39;e;141;e
;091905174133;Ingenried;1068;e;17,44;e;61;e
;091905174149;Schwabbruck;966;e;7,32;e;132;e
;091905174151;Schwabsoien;1424;e;16,98;e;84;e
;091905175114;Bernbeuren;2435;e;41,65;e;58;e
;091905175118;Burggen;1685;e;24,95;e;68;e
;091905176113;Antdorf;1291;e;22,38;e;58;e
;091905176126;Habach;1130;e;12,15;e;93;e
;091905176136;Obersöchering;1582;e;24,27;e;65;e
;091905176153;Sindelsdorf;1213;e;17,50;e;69;e
;091905177120;Eberfing;1502;e;25,93;e;58;e
;091905177121;Eglfing;1138;e;16,16;e;70;e
;091905177131;Huglfing;2864;e;24,36;e;118;e
;091905177135;Oberhausen (Landkreis Weilheim-Schongau);2120;e;14,91;e;142;e
;091905178117;Böbing;1866;e;40,31;e;46;e
;091905178145;Rottenbuch;1854;e;31,48;e;59;e
;091905179132;Iffeldorf;2730;e;27,59;e;99;e
;091905179152;Seeshaupt;3226;e;29,97;e;108;e
;091905180143;Prem;923;e;15,93;e;58;e
;091905180154;Steingaden;2957;e;64,04;e;46;e
;091905180160;Wildsteig;1312;e;47,67;e;28;e
;092610000000;Landshut;67880;e;65,83;e;1031;e
;092620000000;Passau;51907;e;69,56;e;746;e
;092630000000;Straubing;46167;e;67,59;e;683;e
;092710111111;Aholming;2319;e;29,35;e;79;e
;092710113113;Auerbach (Landkreis Deggendorf);2155;e;24,07;e;90;e
;092710116116;Bernried;4756;e;39,48;e;120;e
;092710119119;Deggendorf, GKSt;33563;e;77,14;e;435;e
;092710122122;Grafling;2695;e;46,32;e;58;e
;092710125125;Hengersberg, M;7741;e;45,81;e;169;e
;092710127127;Iggensbach;2137;e;19,08;e;112;e
;092710128128;Künzing;3190;e;40,36;e;79;e
;092710132132;Metten, M;4218;e;11,95;e;353;e
;092710138138;Niederalteich;1801;e;9,97;e;181;e
;092710140140;Offenberg;3347;e;23,76;e;141;e
;092710141141;Osterhofen, St;11967;e;111,16;e;108;e
;092710146146;Plattling, St;12962;e;35,90;e;361;e
;092710151151;Stephansposching;3128;e;44,64;e;70;e
;092710153153;Winzer, M;3757;e;27,61;e;136;e
;092715202123;Grattersdorf;1314;e;25,98;e;51;e
;092715202126;Hunding;1139;e;14,67;e;78;e
;092715202130;Lalling;1601;e;27,92;e;57;e
;092715202148;Schaufling;1499;e;25,39;e;59;e
;092715204139;Oberpöring;1212;e;17,39;e;70;e
;092715204143;Otzing;1981;e;30,43;e;65;e
;092715204152;Wallerfing;1246;e;20,76;e;60;e
;092715205118;Buchhofen;939;e;15,74;e;60;e
;092715205135;Moos (Landkreis Deggendorf);2332;e;32,25;e;72;e
;092715206114;Außernzell;1468;e;24,11;e;61;e
;092715206149;Schöllnach, M;4764;e;39,90;e;119;e
;092720118118;Freyung, St;7049;e;48,63;e;145;e
;092720120120;Grafenau, St;8016;e;63,73;e;126;e
;092720121121;Grainet;2423;e;36,11;e;67;e
;092720122122;Haidmühle;1368;e;21,03;e;65;e
;092720127127;Hohenau;3212;e;43,10;e;75;e
;092720129129;Jandelsbrunn;3233;e;42,38;e;76;e
;092720134134;Mauth;2141;e;28,88;e;74;e
;092720136136;Neureichenau;4198;e;46,37;e;91;e
;092720140140;Ringelai;1878;e;16,37;e;115;e
;092720141141;Röhrnbach, M;4296;e;40,62;e;106;e
;092720142142;Saldenburg;2012;e;28,04;e;72;e
;092720143143;Sankt Oswald-Riedlhütte;2892;e;40,34;e;72;e
;092720146146;Neuschönau;2180;e;27,51;e;79;e
;092720149149;Spiegelau;3733;e;47,03;e;79;e
;092720151151;Waldkirchen, St;11118;e;80,01;e;139;e
;092725211116;Eppenschlag;949;e;17,03;e;56;e
;092725211128;Innernzell;1541;e;22,12;e;70;e
;092725211145;Schöfweg;1311;e;19,02;e;69;e
;092725211147;Schönberg, M;3845;e;32,75;e;117;e
;092725212126;Hinterschmiding;2473;e;21,03;e;118;e
;092725212139;Philippsreut;640;e;10,22;e;63;e
;092725213150;Thurmansbang;2619;e;32,93;e;80;e
;092725213152;Zenting;1137;e;22,25;e;51;e
;092725214119;Fürsteneck;813;e;10,43;e;78;e
;092725214138;Perlesreut, M;2840;e;29,73;e;96;e
;092730111111;Abensberg, St;14808;e;60,26;e;246;e
;092730116116;Bad Abbach, M;12383;e;55,26;e;224;e
;092730137137;Kelheim, St;16664;e;100,23;e;166;e
;092730147147;Mainburg, St;15068;e;61,54;e;245;e
;092730152152;Neustadt a.d.Donau, St;14229;e;93,53;e;152;e
;092730159159;Painten, M;2259;e;36,89;e;61;e
;092730164164;Riedenburg, St;6058;e;100,30;e;60;e
;092730165165;Rohr i.NB, M;3436;e;54,12;e;63;e
;092735215121;Essing, M;1118;e;17,32;e;65;e
;092735215133;Ihrlerstein;4158;e;23,03;e;181;e
;092735216166;Saal a.d.Donau;5470;e;44,01;e;124;e
;092735216175;Teugn;1731;e;17,07;e;101;e
;092735217125;Hausen (Landkreis Kelheim);2198;e;34,59;e;64;e
;092735217127;Herrngiersdorf;1361;e;25,08;e;54;e
;092735217141;Langquaid, M;5871;e;56,77;e;103;e
;092735218119;Biburg;1397;e;14,20;e;98;e
;092735218139;Kirchdorf (Landkreis Kelheim);928;e;16,49;e;56;e
;092735218172;Siegenburg, M;4068;e;27,84;e;146;e
;092735218177;Train;2010;e;10,15;e;198;e
;092735218181;Wildenberg;1410;e;18,16;e;78;e
;092735219113;Aiglsbach;1859;e;39,85;e;47;e
;092735219115;Attenhofen;1427;e;31,42;e;45;e
;092735219163;Elsendorf;2118;e;32,63;e;65;e
;092735219178;Volkenschwand;1801;e;29,23;e;62;e
;092740111111;Adlkofen;4371;e;47,86;e;91;e
;092740113113;Altdorf, M;11082;e;22,99;e;482;e
;092740120120;Bodenkirchen;5334;e;61,99;e;86;e
;092740121121;Buch a.Erlbach;3846;e;26,72;e;144;e
;092740124124;Eching (Landkreis Landshut);4122;e;30,14;e;137;e
;092740126126;Ergolding, M;12961;e;37,16;e;349;e
;092740128128;Essenbach, M;11833;e;83,60;e;142;e
;092740134134;Geisenhausen, M;7271;e;62,50;e;116;e
;092740141141;Hohenthann;4118;e;68,24;e;60;e
;092740146146;Kumhausen;5312;e;37,04;e;143;e
;092740153153;Neufahrn i.NB;4173;e;38,76;e;108;e
;092740156156;Niederaichbach;4078;e;34,06;e;120;e
;092740172172;Pfeffenhausen, M;5376;e;71,76;e;75;e
;092740176176;Rottenburg a.d.Laaber, St;8340;e;90,11;e;93;e
;092740182182;Tiefenbach (Landkreis Landshut);3890;e;24,71;e;157;e
;092740184184;Vilsbiburg, St;11957;e;68,84;e;174;e
;092740185185;Vilsheim;2670;e;21,71;e;123;e
;092740194194;Bruckberg (Landkreis Landshut);5611;e;51,09;e;110;e
;092745220119;Bayerbach b.Ergoldsbach;1948;e;25,41;e;77;e
;092745220127;Ergoldsbach, M;8161;e;56,98;e;143;e
;092745221132;Furth;3640;e;20,96;e;174;e
;092745221165;Obersüßbach;1627;e;23,59;e;69;e
;092745221187;Weihmichl;2434;e;32,17;e;76;e
;092745222174;Postau;1688;e;34,80;e;49;e
;092745222188;Weng;1380;e;15,62;e;88;e
;092745222191;Wörth a.d.Isar;3047;e;4,84;e;630;e
;092745223112;Aham;1920;e;38,01;e;51;e
;092745223135;Gerzen;1869;e;17,02;e;110;e
;092745223145;Kröning;2056;e;39,60;e;52;e
;092745223179;Schalkham;905;e;22,67;e;40;e
;092745226114;Altfraunhofen;2492;e;24,29;e;103;e
;092745226118;Baierbach;764;e;16,76;e;46;e
;092745227154;Neufraunhofen;1089;e;17,95;e;61;e
;092745227183;Velden, M;6453;e;49,43;e;131;e
;092745227193;Wurmsham;1350;e;28,17;e;48;e
;092750111111;Aicha vorm Wald;2457;e;20,35;e;121;e
;092750114114;Aldersbach;4259;e;45,80;e;93;e
;092750116116;Bad Füssing;7480;e;55,06;e;136;e
;092750118118;Breitenberg (Landkreis Passau);2015;e;29,84;e;68;e
;092750119119;Büchlberg;4222;e;28,12;e;150;e
;092750120120;Eging a.See, M;4108;e;23,66;e;174;e
;092750121121;Fürstenstein;3447;e;19,30;e;179;e
;092750122122;Fürstenzell, M;8410;e;79,36;e;106;e
;092750124124;Bad Griesbach i.Rottal, St;8808;e;70,13;e;126;e
;092750125125;Haarbach;2538;e;47,71;e;53;e
;092750126126;Hauzenberg, St;11972;e;82,79;e;145;e
;092750127127;Hofkirchen, M;3626;e;32,70;e;111;e
;092750128128;Hutthurm, M;6207;e;37,20;e;167;e
;092750130130;Kirchham;2448;e;18,47;e;133;e
;092750131131;Kößlarn, M;1911;e;25,48;e;75;e
;092750133133;Neuburg a.Inn;4347;e;41,75;e;104;e
;092750134134;Neuhaus a.Inn;3342;e;31,07;e;108;e
;092750135135;Neukirchen vorm Wald;2913;e;24,30;e;120;e
;092750137137;Obernzell, M;3628;e;18,21;e;199;e
;092750138138;Ortenburg, M;7280;e;60,74;e;120;e
;092750141141;Pocking, St;16109;e;68,86;e;234;e
;092750144144;Ruderting;3055;e;12,96;e;236;e
;092750145145;Ruhstorf a.d.Rott, M;7072;e;51,46;e;137;e
;092750146146;Salzweg;6549;e;31,94;e;205;e
;092750148148;Sonnen;1451;e;16,48;e;88;e
;092750149149;Tettenweis;1816;e;28,70;e;63;e
;092750150150;Thyrnau;4132;e;33,73;e;123;e
;092750151151;Tiefenbach (Landkreis Passau);6450;e;49,71;e;130;e
;092750153153;Untergriesbach, M;6113;e;73,56;e;83;e
;092750154154;Vilshofen an der Donau, St;17522;e;86,29;e;203;e
;092750156156;Wegscheid, M;5326;e;80,64;e;66;e
;092750159159;Windorf, M;4878;e;56,90;e;86;e
;092755229152;Tittling, M;4119;e;20,78;e;198;e
;092755229160;Witzmannsberg;1524;e;18,74;e;81;e
;092755232112;Aidenbach, M;3041;e;17,10;e;178;e
;092755232117;Beutelsbach;1214;e;20,39;e;60;e
;092755234132;Malching;1243;e;25,24;e;49;e
;092755234143;Rotthalmünster, M;4708;e;44,55;e;106;e
;092760113113;Arnbruck;1984;e;37,87;e;52;e
;092760115115;Bayerisch Eisenstein;996;e;47,32;e;21;e
;092760116116;Bischofsmais;3292;e;46,28;e;71;e
;092760117117;Bodenmais, M;3651;e;45,29;e;81;e
;092760118118;Böbrach;1555;e;27,55;e;56;e
;092760120120;Drachselsried;2375;e;41,73;e;57;e
;092760121121;Frauenau;2671;e;60,10;e;44;e
;092760122122;Geiersthal;2185;e;22,37;e;98;e
;092760126126;Kirchberg i.Wald;4374;e;48,79;e;90;e
;092760127127;Kirchdorf i.Wald;2069;e;30,55;e;68;e
;092760128128;Kollnburg;2732;e;59,53;e;46;e
;092760129129;Langdorf;1887;e;34,35;e;55;e
;092760130130;Lindberg;2294;e;108,84;e;21;e
;092760134134;Patersdorf;1746;e;17,04;e;102;e
;092760135135;Prackenbach;2741;e;40,08;e;68;e
;092760138138;Regen, St;10902;e;65,14;e;167;e
;092760139139;Rinchnach;3068;e;40,21;e;76;e
;092760143143;Teisnach, M;2990;e;25,77;e;116;e
;092760144144;Viechtach, St;8332;e;62,46;e;133;e
;092760148148;Zwiesel, St;9146;e;41,16;e;222;e
;092765238111;Achslach;992;e;30,04;e;33;e
;092765238123;Gotteszell;1198;e;9,22;e;130;e
;092765238142;Ruhmannsfelden, M;2013;e;5,80;e;347;e
;092765238146;Zachenberg;2050;e;27,28;e;75;e
;092770111111;Arnstorf, M;6261;e;80,37;e;78;e
;092770114114;Dietersburg;3033;e;55,03;e;55;e
;092770116116;Eggenfelden, St;13952;e;44,35;e;315;e
;092770117117;Egglham;2227;e;36,84;e;60;e
;092770121121;Gangkofen, M;6255;e;108,76;e;58;e
;092770124124;Hebertsfelden;3613;e;49,90;e;72;e
;092770126126;Johanniskirchen;2376;e;40,59;e;59;e
;092770127127;Julbach;2298;e;11,30;e;203;e
;092770128128;Kirchdorf a.Inn;5429;e;31,64;e;172;e
;092770134134;Mitterskirchen;2179;e;24,63;e;88;e
;092770138138;Pfarrkirchen, St;12460;e;52,35;e;238;e
;092770139139;Postmünster;2321;e;43,50;e;53;e
;092770142142;Roßbach (Landkreis Rottal-Inn);2875;e;48,15;e;60;e
;092770144144;Schönau;1892;e;36,13;e;52;e
;092770145145;Simbach a.Inn, St;9797;e;47,33;e;207;e
;092770149149;Triftern, M;5356;e;62,24;e;86;e
;092770151151;Unterdietfurt;2177;e;27,48;e;79;e
;092770152152;Wittibreut;1945;e;38,32;e;51;e
;092770153153;Wurmannsquick, M;3402;e;49,19;e;69;e
;092770154154;Zeilarn;2141;e;28,90;e;74;e
;092775239119;Falkenberg (Landkreis Rottal-Inn);3803;e;66,50;e;57;e
;092775239131;Malgersdorf;1216;e;11,48;e;106;e
;092775239141;Rimbach (Landkreis Rottal-Inn);947;e;22,90;e;41;e
;092775240122;Geratskirchen;843;e;12,89;e;65;e
;092775240133;Massing, M;4028;e;36,14;e;111;e
;092775241112;Bayerbach;1645;e;19,43;e;85;e
;092775241113;Bad Birnbach, M;5684;e;68,83;e;83;e
;092775243140;Reut;1664;e;30,75;e;54;e
;092775243148;Tann, M;3772;e;37,54;e;100;e
;092775244118;Ering;1832;e;39,56;e;46;e
;092775244147;Stubenberg;1395;e;18,19;e;77;e
;092780118118;Bogen, St;10277;e;49,74;e;207;e
;092780121121;Feldkirchen (Landkreis Straubing-Bogen);2035;e;22,66;e;90;e
;092780123123;Geiselhöring, St;6863;e;99,69;e;69;e
;092780129129;Haibach (Landkreis Straubing-Bogen);2028;e;32,38;e;63;e
;092780141141;Kirchroth;3822;e;42,82;e;89;e
;092780143143;Konzell;1841;e;26,75;e;69;e
;092780144144;Laberweinting;3546;e;76,12;e;47;e
;092780146146;Leiblfing;4361;e;78,41;e;56;e
;092780148148;Mallersdorf-Pfaffenberg, M;6803;e;72,56;e;94;e
;092780167167;Oberschneiding;3263;e;60,77;e;54;e
